,videoId,thumbnail,title,descriptionSnippet,publishedTimeText,lengthText,viewCountText,Link
30,7o-tq_sl6dc,https://i.ytimg.com/vi/7o-tq_sl6dc/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgVShGMA8=&rs=AOn4CLDMwQZezvbSDHq3eycqAfjs_u_3iw,The Surrogate Debate! | TRHK EP302 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"10 minutes, 10 seconds","116,481 views",https://www.youtube.com/watch?v=7o-tq_sl6dc
31,Cs9njOqDpsQ,https://i.ytimg.com/vi/Cs9njOqDpsQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGDMgKih_MA8=&rs=AOn4CLCd0ptzno8yAS3av2__-jO2vMJgWw,Mambo ya kubebeana mimba ndo fom? | TRHK EP302 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"9 minutes, 56 seconds","145,143 views",https://www.youtube.com/watch?v=Cs9njOqDpsQ
32,GX0QfjT65Ro,https://i.ytimg.com/vi/GX0QfjT65Ro/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGCMgVyh_MA8=&rs=AOn4CLCPEo0XbJ9H-awPGKdo_52k1a7_eQ,Surrogate Mother Tena? | TRHK EP302,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,30 seconds,"26,801 views",https://www.youtube.com/watch?v=GX0QfjT65Ro
33,Rn6JwAA2cls,https://i.ytimg.com/vi/Rn6JwAA2cls/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgVChSMA8=&rs=AOn4CLCfAcQOlaJhCcn-GbR_n52YgI9h9g,Sauti ya kutoa nyoka Pangani! | TRHK EP301 Pt2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"12 minutes, 29 seconds","172,910 views",https://www.youtube.com/watch?v=Rn6JwAA2cls
34,QBOb5eKmbF0,https://i.ytimg.com/vi/QBOb5eKmbF0/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgUig3MA8=&rs=AOn4CLC8w6EvxNLZp2fRLQsdKkEfDC6SSg,Turu the Telephone Operator | TRHK EP301 Pt1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"10 minutes, 49 seconds","186,369 views",https://www.youtube.com/watch?v=QBOb5eKmbF0
35,11Cr8UbPiw0,https://i.ytimg.com/vi/11Cr8UbPiw0/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgXig5MA8=&rs=AOn4CLDsDn7bOOfLsZAYvpx-hZGDyp0OGg,Ndoa zinavunjwa! | TRHK EP301 PROMO,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,45 seconds,"18,139 views",https://www.youtube.com/watch?v=11Cr8UbPiw0
36,fT9e2kfyGK8,https://i.ytimg.com/vi/fT9e2kfyGK8/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgSig_MA8=&rs=AOn4CLBH-S3KCvWetchNgFL8CtqdwFMXnw,Nkirote ameamua aje? | TRHK EP300 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"11 minutes, 12 seconds","108,500 views",https://www.youtube.com/watch?v=fT9e2kfyGK8
37,OwdXwiNgZB0,https://i.ytimg.com/vi/OwdXwiNgZB0/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgXSgxMA8=&rs=AOn4CLC_jihs-pxUK9NCFSfTdTsMz4NQmw,Haloosi tunayo hatuna?1 | TRHK EP300 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"11 minutes, 8 seconds","147,906 views",https://www.youtube.com/watch?v=OwdXwiNgZB0
38,DLy88_i5Nxw,https://i.ytimg.com/vi/DLy88_i5Nxw/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGDYgVihyMA8=&rs=AOn4CLDxhD1KJ46wDUJm90X5-lGav6KClA,Pata petea manenoz ! | TRHK EP300 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,34 seconds,"20,139 views",https://www.youtube.com/watch?v=DLy88_i5Nxw
39,3x3Tud0kpoA,https://i.ytimg.com/vi/3x3Tud0kpoA/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgQihBMA8=&rs=AOn4CLC18fkSU3Cija6f_5AKTyzjYhyNNA,Mrs Franklin atajitoa kwa hii kweli? | TRHK EP299 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,1 year ago,"14 minutes, 6 seconds","164,284 views",https://www.youtube.com/watch?v=3x3Tud0kpoA
